Version 4
SHEET 1 5828 1652
WIRE 5088 -880 4928 -880
WIRE 64 -768 -496 -768
WIRE 3984 -752 3936 -752
WIRE 3312 -736 3264 -736
WIRE 3440 -736 3392 -736
WIRE 3856 -736 3440 -736
WIRE 3936 -736 3936 -752
WIRE 3936 -736 3856 -736
WIRE 4176 -736 4176 -848
WIRE 4176 -736 4080 -736
WIRE 4496 -736 4176 -736
WIRE 4656 -736 4560 -736
WIRE 4784 -736 4720 -736
WIRE 4928 -736 4928 -880
WIRE 4928 -736 4864 -736
WIRE 5088 -736 5088 -880
WIRE 5088 -736 5056 -736
WIRE 3984 -720 3952 -720
WIRE 4080 -720 4080 -736
WIRE 4080 -720 4048 -720
WIRE 3264 -704 3264 -736
WIRE 3232 -688 3088 -688
WIRE 3856 -688 3856 -736
WIRE -96 -672 -480 -672
WIRE 3440 -672 3440 -736
WIRE 3440 -672 3296 -672
WIRE 3472 -672 3440 -672
WIRE 608 -656 368 -656
WIRE 2848 -656 2736 -656
WIRE 608 -640 560 -640
WIRE 1040 -640 672 -640
WIRE 3952 -640 3952 -720
WIRE 4208 -640 3952 -640
WIRE -80 -624 -112 -624
WIRE 64 -624 64 -768
WIRE 64 -624 0 -624
WIRE 368 -624 368 -656
WIRE 4992 -624 4992 -688
WIRE 5504 -624 4992 -624
WIRE 5824 -624 5504 -624
WIRE 1488 -608 1424 -608
WIRE 4176 -608 4176 -736
WIRE 4176 -608 3952 -608
WIRE 4992 -560 4992 -624
WIRE 560 -544 560 -640
WIRE 656 -544 560 -544
WIRE 768 -544 720 -544
WIRE 2416 -544 2336 -544
WIRE 2496 -544 2480 -544
WIRE 2528 -544 2496 -544
WIRE 2656 -544 2656 -656
WIRE 2656 -544 2608 -544
WIRE 2704 -544 2656 -544
WIRE 2848 -544 2848 -656
WIRE 2912 -544 2848 -544
WIRE 1040 -528 1040 -640
WIRE 1104 -528 1040 -528
WIRE 1424 -528 1424 -608
WIRE 1424 -528 1360 -528
WIRE 2848 -528 2848 -544
WIRE 2848 -528 2768 -528
WIRE 3312 -528 3264 -528
WIRE 3440 -528 3392 -528
WIRE 3696 -528 3440 -528
WIRE 3952 -528 3952 -608
WIRE 3984 -528 3952 -528
WIRE 4192 -512 4080 -512
WIRE 4208 -512 4208 -640
WIRE 4208 -512 4192 -512
WIRE 4496 -512 4208 -512
WIRE 4640 -512 4560 -512
WIRE 4784 -512 4704 -512
WIRE 4928 -512 4864 -512
WIRE -336 -496 -368 -496
WIRE -208 -496 -272 -496
WIRE -96 -496 -96 -672
WIRE -64 -496 -96 -496
WIRE 3264 -496 3264 -528
WIRE 3856 -496 3856 -624
WIRE 3984 -496 3856 -496
WIRE 4080 -496 4080 -512
WIRE 4080 -496 4048 -496
WIRE 64 -480 64 -624
WIRE 64 -480 0 -480
WIRE 1536 -480 1536 -528
WIRE 1632 -480 1536 -480
WIRE 1680 -480 1632 -480
WIRE 1808 -480 1760 -480
WIRE 1904 -480 1808 -480
WIRE 3088 -480 3088 -688
